,timestamp,human_time,runtime_mcc,batch_mcc,event
0,1443874388,2015-10-03 12:13:08,0.5116576837759257,0.500818005479383,
1,1443874726,2015-10-03 12:18:46,0.511469961601045,0.5079032412595015,
2,1443874823,2015-10-03 12:20:23,0.5111994503250182,0.5060597351483801,
3,1443874883,2015-10-03 12:21:23,0.5110614173838768,0.508438791021884,
4,1443875114,2015-10-03 12:25:14,0.5105534630249238,0.5009023302048161,
5,1443875321,2015-10-03 12:28:41,0.5108144404917223,0.51577302360896,
6,1443875587,2015-10-03 12:33:07,0.5107887428249533,0.510300487153441,
7,1443875598,2015-10-03 12:33:18,0.511950923333969,0.5340323530052653,
8,1443875608,2015-10-03 12:33:28,0.512361087735488,0.5201542119255668,
9,1443875616,2015-10-03 12:33:36,0.5120348511268145,0.5058363550288636,
10,1443875620,2015-10-03 12:33:40,0.511648651684002,0.5043108622705639,
11,1443875631,2015-10-03 12:33:51,0.512839476329605,0.5354705706631726,
12,1443875686,2015-10-03 12:34:46,0.5136522211572647,0.5290892181190451,
13,1443875832,2015-10-03 12:37:12,0.5136474199514652,0.5135561970412741,
14,1443875848,2015-10-03 12:37:28,0.5148152472786742,0.537003966495647,
15,1443875891,2015-10-03 12:38:11,0.5146449644273894,0.511409590252979,
16,1443875891,2015-10-03 12:38:11,0.5149866898540089,0.5214794729597788,
17,1443875896,2015-10-03 12:38:16,0.5155520488502193,0.5262938697782178,
18,1443875901,2015-10-03 12:38:21,0.516523740995799,0.5349725538374308,
19,1443875902,2015-10-03 12:38:22,0.51732403913868,0.5325423103853429,
20,1443876194,2015-10-03 12:43:14,0.517424704487815,0.5193381266121393,
21,1443876197,2015-10-03 12:43:17,0.5180373353538826,0.529676638550805,
22,1443876200,2015-10-03 12:43:20,0.5175941517064244,0.5091736624047198,
23,1443876216,2015-10-03 12:43:36,0.5186583143201581,0.5488774039810993,
24,1443876232,2015-10-03 12:43:52,0.518485235655297,0.5296967410229367,
25,1443876239,2015-10-03 12:43:59,0.5178993519245925,0.483967610412071,
26,1443876265,2015-10-03 12:44:25,0.5158161892549695,0.4762360985321339,
27,1443876435,2015-10-03 12:47:15,0.5123671975578403,0.4468363553123854,
28,1443876459,2015-10-03 12:47:39,0.508760305848791,0.4402338580986165,
29,1443876461,2015-10-03 12:47:41,0.5065112368136108,0.463774655159512,
30,1443876465,2015-10-03 12:47:45,0.5009199364511614,0.3946852295646247,
31,1443876468,2015-10-03 12:47:48,0.4968369943482532,0.41920943929992,
32,1443876469,2015-10-03 12:47:49,0.4919043905446358,0.398184918259044,
33,1443876476,2015-10-03 12:47:56,0.485111849215793,0.3560542780835049,
34,1443876480,2015-10-03 12:48:00,0.4776597288865407,0.3360687642208094,optimize
35,1443876485,2015-10-03 12:48:05,0.4816451794656189,0.5573687404681048,
36,1443876485,2015-10-03 12:48:05,0.485515957451995,0.5590609050572312,
37,1443876488,2015-10-03 12:48:08,0.4897109611320081,0.5694158734813719,
38,1443876494,2015-10-03 12:48:14,0.4936561625095244,0.568614986823345,
39,1443876496,2015-10-03 12:48:16,0.4980397502560358,0.5813279174397523,
40,1443876549,2015-10-03 12:49:09,0.5007968162011076,0.5531810691574741,
41,1443876550,2015-10-03 12:49:10,0.5041332254284937,0.5675250007488303,
42,1443876562,2015-10-03 12:49:22,0.50812433591187,0.5842335840409953,
43,1443876564,2015-10-03 12:49:24,0.51046612288019,0.554695961937127,
44,1443876680,2015-10-03 12:51:20,0.5140490641367111,0.5821248262618614,
45,1443876720,2015-10-03 12:52:00,0.5162434796418969,0.5579373742404254,
46,1443876785,2015-10-03 12:53:05,0.5195984049333562,0.5833419854710842,
47,1443876806,2015-10-03 12:53:26,0.522686652808694,0.58136334401138,
48,1443876815,2015-10-03 12:53:35,0.5240676932920362,0.550307424755386,
49,1443876819,2015-10-03 12:53:39,0.5265228634776419,0.573171097004151,
50,1443876826,2015-10-03 12:53:46,0.528610699762671,0.568277794501479,
51,1443876860,2015-10-03 12:54:20,0.529789656579907,0.5521915436107394,
52,1443876882,2015-10-03 12:54:42,0.5320744449616923,0.5754854227320221,
53,1443876919,2015-10-03 12:55:19,0.5337405608338807,0.56539676240546,
54,1443877007,2015-10-03 12:56:47,0.5362297030952438,0.5835234060611444,
55,1443877128,2015-10-03 12:58:48,0.537740170196229,0.566439051149481,
56,1443877138,2015-10-03 12:58:58,0.5402500545278844,0.5879378568293397,
57,1443877152,2015-10-03 12:59:12,0.5412911123738513,0.5610712114472215,
58,1443877181,2015-10-03 12:59:41,0.54345989049725,0.5846666748418246,
59,1443877651,2015-10-03 13:07:31,0.545049110257134,0.5752442930665181,
